,Flight,DepartureTime,ArivalTime,source,Destination,Duration,Price_,Date
0,SpiceJet,06:20,09:10,New Delhi,Bengaluru,"02 h 50 m
Non stop","₹ 5,234",8/1/2023
1,AirAsia,08:10,10:55,New Delhi,Bengaluru,"02 h 45 m
Non stop","₹ 5,235",8/1/2023
2,IndiGo,07:55,10:55,New Delhi,Bengaluru,"03 h
Non stop","₹ 4,537",8/1/2023
3,IndiGo,04:20,07:15,New Delhi,Bengaluru,"02 h 55 m
Non stop","₹ 5,237",8/1/2023
4,IndiGo,05:55,08:45,New Delhi,Bengaluru,"02 h 50 m
Non stop","₹ 5,237",8/1/2023
5,IndiGo,07:00,09:50,New Delhi,Bengaluru,"02 h 50 m
Non stop","₹ 5,237",8/1/2023
6,IndiGo,09:15,12:05,New Delhi,Bengaluru,"02 h 50 m
Non stop","₹ 5,237",8/1/2023
7,IndiGo,10:40,13:30,New Delhi,Bengaluru,"02 h 50 m
Non stop","₹ 5,237",8/1/2023
8,IndiGo,12:15,15:05,New Delhi,Bengaluru,"02 h 50 m
Non stop","₹ 5,237",8/1/2023
9,IndiGo,13:05,15:55,New Delhi,Bengaluru,"02 h 50 m
Non stop","₹ 5,237",8/1/2023
10,AirAsia,13:15,"00:10
+ 1 DAY",New Delhi,Bengaluru,"10 h 55 m
1 stop via Lucknow","₹ 5,237",8/1/2023
11,Air India,08:00,10:55,New Delhi,Bengaluru,"02 h 55 m
Non stop","₹ 5,241",8/1/2023
12,Vistara,08:10,10:45,New Delhi,Bengaluru,"02 h 35 m
Non stop","₹ 5,241",8/1/2023
13,Vistara,09:05,11:50,New Delhi,Bengaluru,"02 h 45 m
Non stop","₹ 5,241",8/1/2023
14,SpiceJet,09:20,17:05,New Delhi,Bengaluru,"07 h 45 m
1 stop via Pune","₹ 5,346",8/1/2023
15,IndiGo,20:30,23:25,New Delhi,Bengaluru,"02 h 55 m
Non stop","₹ 5,482",8/1/2023
16,Go First,05:45,08:35,New Delhi,Bengaluru,"02 h 50 m
Non stop","₹ 5,501",8/1/2023
17,Air India,09:45,12:30,New Delhi,Bengaluru,"02 h 45 m
Non stop","₹ 5,504",8/1/2023
18,Air India,13:30,16:25,New Delhi,Bengaluru,"02 h 55 m
Non stop","₹ 5,504",8/1/2023
19,Air India,17:00,20:20,New Delhi,Bengaluru,"03 h 20 m
Non stop","₹ 5,504",8/1/2023
20,Air India,21:10,"00:05
+ 1 DAY",New Delhi,Bengaluru,"02 h 55 m
Non stop","₹ 5,504",8/1/2023
21,SpiceJet,14:00,16:40,New Delhi,Bengaluru,"02 h 40 m
Non stop","₹ 5,611",8/1/2023
22,SpiceJet,20:30,23:05,New Delhi,Bengaluru,"02 h 35 m
Non stop","₹ 5,611",8/1/2023
23,IndiGo,07:55,11:05,New Delhi,Bengaluru,"03 h 10 m
Non stop","₹ 5,692",8/1/2023
24,IndiGo,21:45,"00:35
+ 1 DAY",New Delhi,Bengaluru,"02 h 50 m
Non stop","₹ 5,692",8/1/2023
25,AirAsia,21:20,"00:25
+ 1 DAY",New Delhi,Bengaluru,"03 h 05 m
Non stop","₹ 5,816",8/1/2023
26,AirAsia,15:05,"00:40
+ 1 DAY",New Delhi,Bengaluru,"09 h 35 m
1 stop via Pune","₹ 5,901",8/1/2023
27,Go First,20:10,22:50,New Delhi,Bengaluru,"02 h 40 m
Non stop","₹ 6,001",8/1/2023
28,IndiGo,19:20,22:05,New Delhi,Bengaluru,"02 h 45 m
Non stop","₹ 6,112",8/1/2023
29,AirAsia,09:30,12:15,New Delhi,Bengaluru,"02 h 45 m
Non stop","₹ 6,217",8/1/2023
30,Vistara,05:35,08:20,New Delhi,Bengaluru,"02 h 45 m
Non stop","₹ 6,344",8/1/2023
31,Air India,06:10,08:55,New Delhi,Bengaluru,"02 h 45 m
Non stop","₹ 6,344",8/1/2023
32,Air India,19:25,22:40,New Delhi,Bengaluru,"03 h 15 m
Non stop","₹ 6,344",8/1/2023
33,Akasa Air,11:50,14:35,New Delhi,Bengaluru,"02 h 45 m
Non stop","₹ 6,377",8/1/2023
34,IndiGo,22:55,"01:45
+ 1 DAY",New Delhi,Bengaluru,"02 h 50 m
Non stop","₹ 6,416",8/1/2023
35,IndiGo,01:55,09:55,New Delhi,Bengaluru,"08 h
1 stop via Hyderabad","₹ 6,737",8/1/2023
